time,solar,solar_state,solar_discrete,bat,bat_soc,bat_soc_discrete,bat_state,grid,grid_state,grid_discrete,renewable,renewable_discrete,total,demand,dif,total_discrete,demand_discrete,price,reward_solar,reward_bat,reward_grid
2019-01-01 00:00:00,0.0,0,0,0.0,0.47874559999999994,1,0,20.0,1,1,0.0,0,20.0,20,0.0,2,2,2,0.0,-20,-20.0
2019-01-01 01:00:00,0.0,0,0,20.0,0.4783455999999999,1,2,0.0,1,1,0.0,0,20.0,20,0.0,2,2,2,0.0,20,-20.0
2019-01-01 02:00:00,0.0,1,0,0.0,0.4783455999999999,1,0,20.0,1,1,0.0,0,20.0,20,0.0,2,2,2,-20.0,-20,-20.0
2019-01-01 03:00:00,0.0,1,0,20.0,0.4779455999999999,1,2,0.0,1,1,0.0,0,20.0,20,0.0,2,2,2,-20.0,20,-20.0
2019-01-01 04:00:00,0.0,0,0,20.0,0.4775455999999999,1,2,0.0,0,1,0.0,0,20.0,20,0.0,2,2,2,0.0,20,0.0
2019-01-01 05:00:00,0.0,0,0,20.0,0.4771455999999999,1,2,0.0,0,0,0.0,0,20.0,20,0.0,2,2,2,0.0,20,0.0
2019-01-01 06:00:00,6.09,0,0,0.0,0.4771455999999999,1,0,20.0,1,0,6.09,0,20.0,20,0.0,2,2,2,0.0,-20,-20.0
2019-01-01 07:00:00,11.22,0,1,-20.0,0.4775455999999999,1,1,40.0,1,1,11.22,1,20.0,20,0.0,2,2,2,0.0,-20,-20.0
2019-01-01 08:00:00,18.5,0,2,-20.0,0.4779455999999999,1,1,40.0,1,1,18.5,2,20.0,20,0.0,2,2,2,0.0,-20,-20.0
2019-01-01 09:00:00,27.29,1,3,7.289999999999999,0.47779979999999994,1,2,0.0,0,1,27.29,3,34.58,20,14.579999999999998,4,2,2,10.0,-10,0.0
2019-01-01 10:00:00,36.03,0,4,-20.0,0.47819979999999995,1,1,40.0,1,0,36.03,4,20.0,20,0.0,2,2,2,-20.0,-20,-20.0
2019-01-01 11:00:00,42.57,1,5,-22.57,0.47865119999999994,1,1,0.0,1,1,42.57,5,20.0,20,0.0,2,2,2,30.0,30,-20.0
2019-01-01 12:00:00,45.0,0,5,-20.0,0.47905119999999995,1,1,40.0,1,1,45.0,5,20.0,20,0.0,2,2,2,-30.0,-20,-20.0
2019-01-01 13:00:00,42.57,0,5,-20.0,0.47945119999999997,1,1,40.0,1,1,42.57,5,20.0,20,0.0,2,2,2,-30.0,-20,-20.0
2019-01-01 14:00:00,36.03,0,4,20.0,0.47905119999999995,1,2,0.0,0,1,36.03,4,20.0,20,0.0,2,2,2,-20.0,20,0.0
2019-01-01 15:00:00,27.29,1,3,7.289999999999999,0.4789054,1,2,14.579999999999998,1,0,27.29,3,49.16,20,29.159999999999997,5,2,2,10.0,-10,-20.0
2019-01-01 16:00:00,18.5,1,2,0.0,0.4789054,1,0,1.5,1,1,18.5,2,20.0,20,0.0,2,2,2,0.0,0,-20.0
2019-01-01 17:00:00,11.22,0,1,20.0,0.47850539999999997,1,2,0.0,1,1,11.22,1,20.0,20,0.0,2,2,2,0.0,20,-20.0
2019-01-01 18:00:00,6.09,1,0,0.0,0.47850539999999997,1,0,0.0,0,1,6.09,0,6.09,20,-13.91,0,2,2,-20.0,-20,0.0
2019-01-01 19:00:00,0.0,0,0,20.0,0.47810539999999996,1,2,0.0,1,0,0.0,0,20.0,20,0.0,2,2,2,0.0,20,-20.0
2019-01-01 20:00:00,0.0,0,0,-20.0,0.47850539999999997,1,1,0.0,0,1,0.0,0,-20.0,20,-40.0,0,2,2,0.0,-20,0.0
2019-01-01 21:00:00,0.0,0,0,-20.0,0.4789054,1,1,40.0,1,0,0.0,0,20.0,20,0.0,2,2,2,0.0,-20,-20.0
2019-01-01 22:00:00,0.0,0,0,-20.0,0.4793054,1,1,0.0,0,1,0.0,0,-20.0,20,-40.0,0,2,2,0.0,-20,0.0
