episode;event_index;event_start_step;event_start_t_idx;epsilon_band_w;event_threshold_w;persistence_window_steps;recovery_step;recovery_time_steps;recovery_time_hours;peak_abs_e_after_event
0;0;1,000000;1,000000;3000,000000;6000,000000;6,000000;12,000000;11,000000;11,000000;114799,199161
0;1;5,000000;5,000000;3000,000000;6000,000000;6,000000;12,000000;7,000000;7,000000;114799,199161
0;2;7,000000;7,000000;3000,000000;6000,000000;6,000000;12,000000;5,000000;5,000000;114799,199161
0;3;9,000000;9,000000;3000,000000;6000,000000;6,000000;12,000000;3,000000;3,000000;114799,199161
0;4;11,000000;11,000000;3000,000000;6000,000000;6,000000;12,000000;1,000000;1,000000;114799,199161
0;5;18,000000;18,000000;3000,000000;6000,000000;6,000000;37,000000;19,000000;19,000000;114799,199161
0;6;21,000000;21,000000;3000,000000;6000,000000;6,000000;37,000000;16,000000;16,000000;114799,199161
0;7;23,000000;23,000000;3000,000000;6000,000000;6,000000;37,000000;14,000000;14,000000;114799,199161
0;8;25,000000;25,000000;3000,000000;6000,000000;6,000000;37,000000;12,000000;12,000000;114799,199161
0;9;30,000000;30,000000;3000,000000;6000,000000;6,000000;37,000000;7,000000;7,000000;95678,970077
0;10;33,000000;33,000000;3000,000000;6000,000000;6,000000;37,000000;4,000000;4,000000;95678,970077
0;11;46,000000;46,000000;3000,000000;6000,000000;6,000000;75,000000;29,000000;29,000000;95678,970077
0;12;51,000000;51,000000;3000,000000;6000,000000;6,000000;75,000000;24,000000;24,000000;95678,970077
0;13;56,000000;56,000000;3000,000000;6000,000000;6,000000;75,000000;19,000000;19,000000;95678,970077
0;14;60,000000;60,000000;3000,000000;6000,000000;6,000000;75,000000;15,000000;15,000000;95678,970077
0;15;62,000000;62,000000;3000,000000;6000,000000;6,000000;75,000000;13,000000;13,000000;95678,970077
0;16;64,000000;64,000000;3000,000000;6000,000000;6,000000;75,000000;11,000000;11,000000;95678,970077
0;17;66,000000;66,000000;3000,000000;6000,000000;6,000000;75,000000;9,000000;9,000000;95678,970077
0;18;71,000000;71,000000;3000,000000;6000,000000;6,000000;75,000000;4,000000;4,000000;95678,970077
0;19;74,000000;74,000000;3000,000000;6000,000000;6,000000;75,000000;1,000000;1,000000;95678,970077
0;20;84,000000;84,000000;3000,000000;6000,000000;6,000000;;;;92487,760573
0;21;87,000000;87,000000;3000,000000;6000,000000;6,000000;;;;92487,760573
0;22;89,000000;89,000000;3000,000000;6000,000000;6,000000;;;;70368,716865
0;23;93,000000;93,000000;3000,000000;6000,000000;6,000000;;;;40104,074555
1;0;3,000000;3,000000;3000,000000;6000,000000;6,000000;26,000000;23,000000;23,000000;116067,223869
1;1;9,000000;9,000000;3000,000000;6000,000000;6,000000;26,000000;17,000000;17,000000;116067,223869
1;2;12,000000;12,000000;3000,000000;6000,000000;6,000000;26,000000;14,000000;14,000000;116067,223869
1;3;16,000000;16,000000;3000,000000;6000,000000;6,000000;26,000000;10,000000;10,000000;116067,223869
1;4;20,000000;20,000000;3000,000000;6000,000000;6,000000;26,000000;6,000000;6,000000;116067,223869
1;5;25,000000;25,000000;3000,000000;6000,000000;6,000000;26,000000;1,000000;1,000000;116067,223869
1;6;32,000000;32,000000;3000,000000;6000,000000;6,000000;57,000000;25,000000;25,000000;116067,223869
1;7;37,000000;37,000000;3000,000000;6000,000000;6,000000;57,000000;20,000000;20,000000;116067,223869
1;8;41,000000;41,000000;3000,000000;6000,000000;6,000000;57,000000;16,000000;16,000000;116067,223869
1;9;46,000000;46,000000;3000,000000;6000,000000;6,000000;57,000000;11,000000;11,000000;99720,842657
1;10;52,000000;52,000000;3000,000000;6000,000000;6,000000;57,000000;5,000000;5,000000;99720,842657
1;11;54,000000;54,000000;3000,000000;6000,000000;6,000000;57,000000;3,000000;3,000000;99720,842657
1;12;66,000000;66,000000;3000,000000;6000,000000;6,000000;;;;99720,842657
1;13;68,000000;68,000000;3000,000000;6000,000000;6,000000;;;;94948,850487
1;14;73,000000;73,000000;3000,000000;6000,000000;6,000000;;;;94948,850487
1;15;78,000000;78,000000;3000,000000;6000,000000;6,000000;;;;94948,850487
1;16;80,000000;80,000000;3000,000000;6000,000000;6,000000;;;;94948,850487
1;17;83,000000;83,000000;3000,000000;6000,000000;6,000000;;;;94948,850487
1;18;85,000000;85,000000;3000,000000;6000,000000;6,000000;;;;94948,850487
1;19;89,000000;89,000000;3000,000000;6000,000000;6,000000;;;;94948,850487
1;20;93,000000;93,000000;3000,000000;6000,000000;6,000000;;;;94948,850487
2;0;0,000000;0,000000;3000,000000;6000,000000;6,000000;29,000000;29,000000;29,000000;108399,147697
2;1;4,000000;4,000000;3000,000000;6000,000000;6,000000;29,000000;25,000000;25,000000;108399,147697
2;2;10,000000;10,000000;3000,000000;6000,000000;6,000000;29,000000;19,000000;19,000000;108399,147697
