episode;step;epsilon;potential_solar#0;action_solar#0;power_solar#0;idx_solar#0;potential_battery#0;action_battery#0;power_battery#0;idx_battery#0;soc_battery#0;soc_idx_battery#0;env_price;env_price_idx;env_renewable_potential;env_renewable_potential_idx;env_total_renewable;env_total_renewable_idx;env_total_power;env_total_power_idx;env_demand_power;env_demand_power_idx;env_grid_power;env_grid_power_idx;env_energy_balance;env_energy_balance_idx;env_delta_power_idx;reward_solar#0;reward_battery#0;env_delta_ph;env_delta_ph_norm;env_delta_ph_idx
89;-1;0,000000;;;0,000000;0;;;0,000000;2;1,000000;2;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;surplus;0,000000;0,000000;;;
89;0;0,552764;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;2;1,000000;2;1,000000;0;156,249000;1;0,000000;0;0,000000;0;196,000000;1;0,000000;0;-196,000000;0;;1,000000;1,000000;-39,751000;-0,000133;0,000000
89;1;0,552764;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;2;1,000000;2;1,000000;0;174,999000;1;0,000000;0;0,000000;0;199,390000;1;0,000000;0;-199,390000;0;;1,000000;1,000000;-24,391000;-0,000081;0,000000
89;2;0,552764;0,000000;1,000000;0,000000;0;0,000000;0,000000;0,000000;2;1,000000;2;1,000000;0;193,749000;1;0,000000;0;0,000000;0;200,000000;1;0,000000;0;-200,000000;0;;1,000000;1,000000;-6,251000;-0,000021;0,000000
89;3;0,552764;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;2;1,000000;2;1,000000;0;81,249000;1;0,000000;0;0,000000;0;221,560000;1;0,000000;0;-221,560000;0;;1,000000;1,000000;-140,311000;-0,000468;0,000000
89;4;0,552764;0,000000;1,000000;0,000000;0;220,000000;2,000000;220,000000;1;0,994792;1;1,000000;0;184,014000;1;0,000000;0;220,000000;1;220,000000;1;0,000000;0;0,000000;0;;1,000000;-1,000000;-35,986000;-0,000120;0,000000
89;5;0,552764;85,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,994792;1;1,000000;0;371,685000;1;0,000000;0;0,000000;0;240,320000;1;0,000000;0;-240,320000;0;;1,000000;1,000000;131,365000;0,000438;0,000000
89;6;0,552764;171,000000;1,000000;171,000000;1;0,000000;0,000000;0,000000;1;0,994792;1;1,000000;0;458,499000;1;171,000000;1;171,000000;1;232,880000;1;0,000000;0;-61,880000;0;;1,000000;1,000000;225,619000;0,000752;0,000000
89;7;0,552764;207,000000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,994792;1;1,000000;0;521,211000;1;0,000000;0;0,000000;0;231,730000;1;0,000000;0;-231,730000;0;;1,000000;1,000000;289,481000;0,000965;0,000000
89;8;0,552764;306,000000;0,000000;0,000000;1;236,590000;2,000000;236,590000;1;0,989191;1;1,000000;0;619,224000;1;0,000000;0;236,590000;1;236,590000;1;0,000000;0;0,000000;0;;1,000000;-1,000000;382,634000;0,001275;0,000000
89;9;0,552764;418,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,989191;1;1,000000;0;784,158000;1;0,000000;0;0,000000;0;255,330000;1;0,000000;0;-255,330000;0;;1,000000;1,000000;528,828000;0,001763;0,000000
89;10;0,552764;450,000000;1,000000;450,000000;1;0,000000;0,000000;0,000000;1;0,989191;1;1,000000;0;839,475000;1;450,000000;1;450,000000;1;266,530000;1;0,000000;0;183,470000;1;;1,000000;1,000000;572,945000;0,001910;0,000000
89;11;0,552764;450,000000;0,000000;0,000000;1;283,090000;2,000000;283,090000;1;0,982489;1;1,000000;0;848,223000;1;0,000000;0;283,090000;1;283,090000;1;0,000000;0;0,000000;0;;1,000000;-1,000000;565,133000;0,001884;0,000000
89;12;0,552764;450,000000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,982489;1;1,000000;0;866,712000;1;0,000000;0;0,000000;0;276,000000;1;0,000000;0;-276,000000;0;;1,000000;1,000000;590,712000;0,001969;0,000000
89;13;0,552764;400,500000;0,000000;0,000000;1;284,000000;2,000000;284,000000;1;0,975765;1;1,000000;0;850,500000;1;0,000000;0;284,000000;1;284,000000;1;0,000000;0;0,000000;0;;1,000000;-1,000000;566,500000;0,001888;0,000000
89;14;0,552764;292,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,975765;1;1,000000;0;733,422000;1;0,000000;0;0,000000;0;280,970000;1;0,000000;0;-280,970000;0;;1,000000;1,000000;452,452000;0,001508;0,000000
89;15;0,552764;184,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,975765;1;1,000000;0;565,749000;1;0,000000;0;0,000000;0;276,950000;1;0,000000;0;-276,950000;0;;1,000000;1,000000;288,799000;0,000963;0,000000
89;16;0,552764;139,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,975765;1;1,000000;0;479,895000;1;0,000000;0;0,000000;0;260,000000;1;0,000000;0;-260,000000;0;;1,000000;1,000000;219,895000;0,000733;0,000000
89;17;0,552764;0,000000;1,000000;0,000000;0;283,240000;2,000000;283,240000;1;0,969060;1;1,000000;0;227,433000;1;0,000000;0;283,240000;1;283,240000;1;0,000000;0;0,000000;0;;1,000000;-1,000000;-55,807000;-0,000186;0,000000
89;18;0,552764;0,000000;1,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,969060;1;1,000000;0;319,080000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;19,080000;0,000064;0,000000
89;19;0,552764;0,000000;1,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,969060;1;1,000000;0;277,500000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-22,500000;-0,000075;0,000000
89;20;0,552764;0,000000;0,000000;0,000000;0;300,000000;2,000000;300,000000;1;0,961957;1;1,000000;0;187,500000;1;0,000000;0;300,000000;1;300,000000;1;0,000000;0;0,000000;0;;1,000000;-1,000000;-112,500000;-0,000375;0,000000
89;21;0,552764;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,961957;1;1,000000;0;119,868000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-180,132000;-0,000600;0,000000
89;22;0,552764;0,000000;0,000000;0,000000;0;300,000000;2,000000;300,000000;1;0,954855;1;1,000000;0;188,355000;1;0,000000;0;300,000000;1;300,000000;1;0,000000;0;0,000000;0;;1,000000;-1,000000;-111,645000;-0,000372;0,000000
89;23;0,552764;0,000000;1,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,954855;1;1,000000;0;150,264000;1;0,000000;0;0,000000;0;283,350000;1;0,000000;0;-283,350000;0;;1,000000;1,000000;-133,086000;-0,000444;0,000000
89;24;0,552764;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,954855;1;1,000000;0;139,407000;1;0,000000;0;0,000000;0;226,650000;1;0,000000;0;-226,650000;0;;1,000000;1,000000;-87,243000;-0,000291;0,000000
89;25;0,552764;0,000000;1,000000;0,000000;0;0,000000;1,000000;0,000000;1;0,954855;1;1,000000;0;193,749000;1;0,000000;0;0,000000;0;222,420000;1;0,000000;0;-222,420000;0;;1,000000;-1,000000;-28,671000;-0,000096;0,000000
89;26;0,552764;0,000000;0,000000;0,000000;0;208,170000;2,000000;208,170000;1;0,949927;1;1,000000;0;240,591000;1;0,000000;0;208,170000;1;208,170000;1;0,000000;0;0,000000;0;;1,000000;-1,000000;32,421000;0,000108;0,000000
89;27;0,552764;0,000000;1,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,949927;1;1,000000;0;287,499000;1;0,000000;0;0,000000;0;224,000000;1;0,000000;0;-224,000000;0;;1,000000;1,000000;63,499000;0,000212;0,000000
89;28;0,552764;0,000000;1,000000;0,000000;0;0,000000;1,000000;0,000000;1;0,949927;1;1,000000;0;108,552000;1;0,000000;0;0,000000;0;223,030000;1;0,000000;0;-223,030000;0;;1,000000;-1,000000;-114,478000;-0,000382;0,000000
89;29;0,552764;103,500000;0,000000;0,000000;1;0,000000;1,000000;0,000000;1;0,949927;1;1,000000;0;349,092000;1;0,000000;0;0,000000;0;240,570000;1;0,000000;0;-240,570000;0;;1,000000;-1,000000;108,522000;0,000362;0,000000
89;30;0,552764;175,500000;0,000000;0,000000;1;244,000000;2,000000;244,000000;1;0,944150;1;1,000000;0;269,250000;1;0,000000;0;244,000000;1;244,000000;1;0,000000;0;0,000000;0;;1,000000;-1,000000;25,250000;0,000084;0,000000
89;31;0,552764;225,000000;1,000000;225,000000;1;15,000000;2,000000;15,000000;1;0,943795;1;1,000000;0;537,501000;1;225,000000;1;240,000000;1;240,000000;1;0,000000;0;0,000000;0;;1,000000;-1,000000;297,501000;0,000992;0,000000
89;32;0,552764;328,500000;1,000000;328,500000;1;90,140000;1,000000;-90,140000;1;0,945929;1;1,000000;0;702,579000;1;328,500000;1;328,500000;1;328,500000;1;0,000000;0;0,000000;0;;1,000000;-1,000000;374,079000;0,001247;0,000000
