time,solar,solar_state,solar_discrete,wind,wind_state,wind_discrete,bat,bat_soc,bat_soc_discrete,bat_state,grid,grid_state,grid_discrete,renewable,renewable_discrete,total,demand,dif,total_discrete,demand_discrete,price,reward_solar,reward_wind,reward_bat,reward_grid,reward_demand
2019-01-01 00:00:00,0.0,1,0,0,1,0,20.0,0.5861111111111111,1,2,0.0,1,1,0.0,0,5.0,5,0.0,0,2,2,-20.0,-20.0,20.0,-20.0,-10
2019-01-01 01:00:00,0.0,1,0,0,0,0,0.0,0.5861111111111111,1,0,0.0,0,1,0.0,0,-15.0,5,-20.0,0,2,2,-20.0,0.0,-20.0,0.0,-10
2019-01-01 02:00:00,0.0,0,0,0,1,0,0.0,0.5861111111111111,1,0,0.0,0,0,0.0,0,-15.0,5,-20.0,0,2,2,0.0,-20.0,-20.0,0.0,-10
2019-01-01 03:00:00,0.0,0,0,0,1,0,0.0,0.5861111111111111,1,0,0.0,0,0,0.0,0,-15.0,5,-20.0,0,2,2,0.0,-20.0,-20.0,0.0,-10
2019-01-01 04:00:00,0.0,1,0,0,0,0,20.0,0.5722222222222222,1,2,0.0,1,0,0.0,0,20.0,20,0.0,2,2,2,-20.0,0.0,20.0,-20.0,10
2019-01-01 05:00:00,0.0,0,0,0,0,0,0.0,0.5722222222222222,1,0,0.0,0,1,0.0,0,0.0,20,-20.0,0,2,2,0.0,0.0,-20.0,0.0,10
2019-01-01 06:00:00,6.09,0,0,0,1,0,-20.0,0.5861111111111111,1,1,40.0,1,0,6.09,0,5.0,5,0.0,0,2,2,0.0,-20.0,-20.0,-20.0,-10
2019-01-01 07:00:00,11.22,1,1,0,0,0,-8.78,0.5922083333333333,1,1,0.0,0,1,11.22,1,2.4400000000000013,20,-17.56,0,2,2,-10.0,0.0,-10.0,0.0,10
2019-01-01 08:00:00,18.5,1,2,0,1,0,-1.5,0.5932499999999999,1,1,3.0,1,0,18.5,2,5.0,5,0.0,0,2,2,0.0,-20.0,0.0,-20.0,-10
2019-01-01 09:00:00,27.29,1,3,0,0,0,7.289999999999999,0.5881875,1,2,0.0,0,1,27.29,3,34.58,20,14.579999999999998,4,2,2,10.0,0.0,-10.0,0.0,10
2019-01-01 10:00:00,36.03,1,4,0,1,0,0.0,0.5881875,1,0,0.0,0,0,36.03,4,21.03,5,16.03,2,2,2,20.0,-20.0,0.0,0.0,-10
2019-01-01 11:00:00,42.57,0,5,0,0,0,20.0,0.5742986111111111,1,2,0.0,1,0,42.57,5,20.0,20,0.0,2,2,2,-30.0,0.0,-30.0,-20.0,10
2019-01-01 12:00:00,45.0,0,5,0,1,0,20.0,0.5604097222222222,1,2,0.0,0,1,45.0,5,5.0,5,0.0,0,2,2,-30.0,-20.0,-30.0,0.0,-10
2019-01-01 13:00:00,42.57,1,5,0,1,0,22.57,0.544736111111111,1,2,45.14,1,0,42.57,5,95.28,5,90.28,5,2,2,30.0,-20.0,-30.0,-20.0,-10
2019-01-01 14:00:00,36.03,0,4,0,1,0,0.0,0.544736111111111,1,0,20.0,1,1,36.03,4,20.0,20,0.0,2,2,2,-20.0,-20.0,0.0,-20.0,10
2019-01-01 15:00:00,27.29,1,3,0,0,0,-7.289999999999999,0.549798611111111,1,1,0.0,1,1,27.29,3,5.0,5,0.0,0,2,2,10.0,0.0,10.0,-20.0,-10
2019-01-01 16:00:00,18.5,0,2,0,0,0,20.0,0.5359097222222221,1,2,0.0,1,1,18.5,2,20.0,20,0.0,2,2,2,0.0,0.0,0.0,-20.0,10
2019-01-01 17:00:00,11.22,0,1,0,0,0,-20.0,0.549798611111111,1,1,0.0,0,1,11.22,1,-20.0,20,-40.0,0,2,2,0.0,0.0,-10.0,0.0,10
2019-01-01 18:00:00,6.09,1,0,0,1,0,13.91,0.5401388888888887,1,2,0.0,0,0,6.09,0,5.0,5,0.0,0,2,2,-20.0,-20.0,20.0,0.0,-10
2019-01-01 19:00:00,0.0,0,0,0,0,0,0.0,0.5401388888888887,1,0,20.0,1,0,0.0,0,5.0,5,0.0,0,2,2,0.0,0.0,-20.0,-20.0,-10
2019-01-01 20:00:00,0.0,1,0,0,0,0,20.0,0.5262499999999998,1,2,0.0,0,1,0.0,0,5.0,5,0.0,0,2,2,-20.0,0.0,20.0,0.0,-10
2019-01-01 21:00:00,0.0,0,0,0,0,0,-20.0,0.5401388888888887,1,1,0.0,0,0,0.0,0,-20.0,20,-40.0,0,2,2,0.0,0.0,-20.0,0.0,10
2019-01-01 22:00:00,0.0,0,0,0,1,0,0.0,0.5401388888888887,1,0,0.0,0,0,0.0,0,0.0,20,-20.0,0,2,2,0.0,-20.0,-20.0,0.0,10
