episode;step;epsilon;potential_wind#0;action_wind#0;power_wind#0;idx_wind#0;potential_battery#0;action_battery#0;power_battery#0;idx_battery#0;soc_battery#0;soc_idx_battery#0;potential_grid#0;action_grid#0;power_grid#0;idx_grid#0;env_price;env_price_idx;env_renewable_potential;env_renewable_potential_idx;env_total_renewable;env_total_renewable_idx;env_total_power;env_total_power_idx;env_demand_power;env_demand_power_idx;env_grid_power;env_grid_power_idx;env_energy_balance;env_energy_balance_idx;env_delta_power_idx;reward_wind#0;reward_battery#0;reward_grid#0;env_delta_ph;env_delta_ph_norm;env_delta_ph_idx
424;-1;0,000000;;;0,000000;1;;;0,000000;2;1,000000;2;;;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;surplus;0,000000;0,000000;0,000000;;;
424;0;0,150301;156,249000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;196,000000;0,000000;0,000000;0;1,000000;0;156,249000;1;0,000000;0;0,000000;0;196,000000;1;0,000000;0;-196,000000;0;;1,000000;1,000000;-0,250000;-39,751000;-0,000133;0,000000
424;1;0,150301;174,999000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;199,390000;0,000000;0,000000;0;1,000000;0;174,999000;1;0,000000;0;0,000000;0;199,390000;1;0,000000;0;-199,390000;0;;1,000000;1,000000;-0,250000;-24,391000;-0,000081;0,000000
424;2;0,150301;193,749000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;200,000000;0,000000;0,000000;0;1,000000;0;193,749000;1;0,000000;0;0,000000;0;200,000000;1;0,000000;0;-200,000000;0;;1,000000;1,000000;-0,250000;-6,251000;-0,000021;0,000000
424;3;0,150301;81,249000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;221,560000;1,000000;221,560000;1;1,000000;0;81,249000;1;0,000000;0;221,560000;1;221,560000;1;221,560000;1;0,000000;0;;1,000000;1,000000;-0,250000;-140,311000;-0,000468;0,000000
424;4;0,150301;184,014000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;220,000000;0,000000;0,000000;0;1,000000;0;184,014000;1;0,000000;0;0,000000;0;220,000000;1;0,000000;0;-220,000000;0;;1,000000;1,000000;-0,250000;-35,986000;-0,000120;0,000000
424;5;0,150301;286,185000;0,000000;0,000000;1;0,000000;1,000000;0,000000;2;1,000000;2;240,320000;0,000000;0,000000;0;1,000000;0;371,685000;1;0,000000;0;0,000000;0;240,320000;1;0,000000;0;-240,320000;0;;1,000000;-1,000000;1,000000;131,365000;0,000438;0,000000
424;6;0,150301;287,499000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;232,880000;0,000000;0,000000;0;1,000000;0;458,499000;1;0,000000;0;0,000000;0;232,880000;1;0,000000;0;-232,880000;0;;1,000000;1,000000;-0,250000;225,619000;0,000752;0,000000
424;7;0,150301;314,211000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;231,730000;0,000000;0,000000;0;1,000000;0;521,211000;1;0,000000;0;0,000000;0;231,730000;1;0,000000;0;-231,730000;0;;1,000000;1,000000;-0,250000;289,481000;0,000965;0,000000
424;8;0,150301;313,224000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;236,590000;0,000000;0,000000;0;1,000000;0;619,224000;1;0,000000;0;0,000000;0;236,590000;1;0,000000;0;-236,590000;0;;1,000000;1,000000;-0,250000;382,634000;0,001275;0,000000
424;9;0,150301;365,658000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;255,330000;0,000000;0,000000;0;1,000000;0;784,158000;1;0,000000;0;0,000000;0;255,330000;1;0,000000;0;-255,330000;0;;1,000000;1,000000;-0,250000;528,828000;0,001763;0,000000
424;10;0,150301;389,475000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;266,530000;0,000000;0,000000;0;1,000000;0;839,475000;1;0,000000;0;0,000000;0;266,530000;1;0,000000;0;-266,530000;0;;1,000000;1,000000;-0,250000;572,945000;0,001910;0,000000
424;11;0,150301;398,223000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;283,090000;0,000000;0,000000;0;1,000000;0;848,223000;1;0,000000;0;0,000000;0;283,090000;1;0,000000;0;-283,090000;0;;1,000000;1,000000;-0,250000;565,133000;0,001884;0,000000
424;12;0,150301;416,712000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;276,000000;0,000000;0,000000;0;1,000000;0;866,712000;1;0,000000;0;0,000000;0;276,000000;1;0,000000;0;-276,000000;0;;1,000000;1,000000;-0,250000;590,712000;0,001969;0,000000
424;13;0,150301;450,000000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;284,000000;0,000000;0,000000;0;1,000000;0;850,500000;1;0,000000;0;0,000000;0;284,000000;1;0,000000;0;-284,000000;0;;1,000000;1,000000;-0,250000;566,500000;0,001888;0,000000
424;14;0,150301;440,922000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;280,970000;0,000000;0,000000;0;1,000000;0;733,422000;1;0,000000;0;0,000000;0;280,970000;1;0,000000;0;-280,970000;0;;1,000000;1,000000;-0,250000;452,452000;0,001508;0,000000
424;15;0,150301;381,249000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;276,950000;0,000000;0,000000;0;1,000000;0;565,749000;1;0,000000;0;0,000000;0;276,950000;1;0,000000;0;-276,950000;0;;1,000000;1,000000;-0,250000;288,799000;0,000963;0,000000
424;16;0,150301;340,395000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;260,000000;1,000000;260,000000;1;1,000000;0;479,895000;1;0,000000;0;260,000000;1;260,000000;1;260,000000;1;0,000000;0;;1,000000;1,000000;-0,250000;219,895000;0,000733;0,000000
424;17;0,150301;227,433000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;283,240000;1,000000;283,240000;1;1,000000;0;227,433000;1;0,000000;0;283,240000;1;283,240000;1;283,240000;1;0,000000;0;;1,000000;1,000000;-0,250000;-55,807000;-0,000186;0,000000
424;18;0,150301;319,080000;1,000000;319,080000;1;0,000000;0,000000;0,000000;2;1,000000;2;0,000000;0,000000;0,000000;0;1,000000;0;319,080000;1;319,080000;1;319,080000;1;300,000000;1;0,000000;0;19,080000;1;;1,000000;1,000000;-0,250000;19,080000;0,000064;0,000000
424;19;0,150301;277,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;300,000000;0,000000;0,000000;0;1,000000;0;277,500000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-0,250000;-22,500000;-0,000075;0,000000
424;20;0,150301;187,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;300,000000;0,000000;0,000000;0;1,000000;0;187,500000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-0,250000;-112,500000;-0,000375;0,000000
424;21;0,150301;119,868000;0,000000;0,000000;1;0,000000;1,000000;0,000000;2;1,000000;2;300,000000;0,000000;0,000000;0;1,000000;0;119,868000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;-1,000000;1,000000;-180,132000;-0,000600;0,000000
424;22;0,150301;188,355000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;300,000000;0,000000;0,000000;0;1,000000;0;188,355000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-0,250000;-111,645000;-0,000372;0,000000
424;23;0,150301;150,264000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;283,350000;0,000000;0,000000;0;1,000000;0;150,264000;1;0,000000;0;0,000000;0;283,350000;1;0,000000;0;-283,350000;0;;1,000000;1,000000;-0,250000;-133,086000;-0,000444;0,000000
424;24;0,150301;139,407000;0,000000;0,000000;1;0,000000;1,000000;0,000000;2;1,000000;2;226,650000;0,000000;0,000000;0;1,000000;0;139,407000;1;0,000000;0;0,000000;0;226,650000;1;0,000000;0;-226,650000;0;;1,000000;-1,000000;1,000000;-87,243000;-0,000291;0,000000
424;25;0,150301;193,749000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;222,420000;0,000000;0,000000;0;1,000000;0;193,749000;1;0,000000;0;0,000000;0;222,420000;1;0,000000;0;-222,420000;0;;1,000000;1,000000;-0,250000;-28,671000;-0,000096;0,000000
424;26;0,150301;240,591000;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;208,170000;1,000000;208,170000;1;1,000000;0;240,591000;1;0,000000;0;208,170000;1;208,170000;1;208,170000;1;0,000000;0;;1,000000;1,000000;-0,250000;32,421000;0,000108;0,000000
